shop_id,category_id,longitude,latitude,price,mall_id
s_464962,c_24,122.346375,31.833718,72,m_690
s_467203,c_30,122.346942,31.834217,56,m_690
s_471236,c_50,122.346731,31.834872,67,m_690
s_480033,c_48,122.347493,31.834135,67,m_690
s_486541,c_38,122.347232,31.834928,52,m_690
s_491151,c_13,122.34689,31.834329,66,m_690
s_491988,c_29,122.346899,31.834326,50,m_690
s_495780,c_50,122.347096,31.834746,64,m_690
s_501869,c_38,122.347237,31.834946,52,m_690
s_511059,c_38,122.346899,31.834326,47,m_690
s_517730,c_26,122.346376,31.833717,44,m_690
s_532828,c_25,122.346882,31.83513,42,m_690
s_543464,c_7,122.346732,31.833508,67,m_690
s_544982,c_38,122.346646,31.835144,44,m_690
s_555720,c_50,122.346862,31.834319,55,m_690
s_633878,c_28,122.347539,31.83369,40,m_690
s_645725,c_26,122.34689,31.834329,53,m_690
s_656813,c_28,122.346942,31.835025,40,m_690
s_669092,c_28,122.347175,31.834064,60,m_690
s_698115,c_50,122.346603,31.834326,61,m_690
s_704259,c_25,122.346899,31.834326,50,m_690
s_741330,c_38,122.347081,31.83506,49,m_690
s_767494,c_38,122.34689,31.834329,38,m_690
s_796974,c_5,122.34689,31.834329,64,m_690
s_824128,c_28,122.346805,31.835205,50,m_690
s_850768,c_49,122.347441,31.833918,67,m_690
s_878825,c_38,122.34689,31.834329,51,m_690
s_905564,c_50,122.347096,31.83415,65,m_690
s_1091614,c_28,122.346541,31.834287,47,m_690
s_1138950,c_4,122.347827,31.833539,62,m_690
s_1203375,c_2,122.34689,31.834329,55,m_690
s_1208985,c_33,122.347697,31.835405,53,m_690
s_1214828,c_38,122.34689,31.834329,40,m_690
s_1217813,c_38,122.34689,31.834329,40,m_690
s_1228218,c_38,122.34689,31.834329,40,m_690
s_1425466,c_50,122.34689,31.834329,61,m_690
s_1522414,c_36,122.346196,31.833799,53,m_690
s_1719280,c_33,122.347264,31.835239,52,m_690
s_1848170,c_33,122.346366,31.83353,53,m_690
s_1850655,c_28,122.346788,31.834951,44,m_690
s_1910011,c_38,122.34689,31.834329,44,m_690
s_1946001,c_50,122.34689,31.834329,62,m_690
s_2000157,c_9,122.34689,31.834329,66,m_690
s_2038606,c_49,122.347601,31.834178,59,m_690
s_2628604,c_34,122.346633,31.834944,40,m_690
s_2784191,c_1,122.346795,31.834669,64,m_690
s_2789464,c_49,122.34689,31.834329,60,m_690
s_2833968,c_24,122.347027,31.835118,59,m_690
s_3031268,c_34,122.346875,31.834993,40,m_690
s_3183871,c_17,122.346282,31.833592,62,m_690
s_3209667,c_38,122.346594,31.834242,42,m_690
s_3305181,c_133,122.34689,31.834329,61,m_690
s_3345001,c_30,122.34689,31.834329,47,m_690
s_3578421,c_26,122.347748,31.833521,45,m_690
s_3609326,c_1,122.347311,31.834201,56,m_690
s_3609851,c_50,122.34689,31.834329,64,m_690
s_3683594,c_49,122.347153,31.83425,61,m_690
s_3708022,c_24,122.34689,31.834329,60,m_690
s_3708149,c_39,122.346861,31.833766,58,m_690
s_3737251,c_34,122.346326,31.834457,43,m_690
s_3765583,c_50,122.34689,31.834329,65,m_690
s_3792037,c_50,122.34689,31.834329,65,m_690
s_3806401,c_1,122.346673,31.834168,57,m_690
s_3806668,c_6,122.346463,31.83379,60,m_690
s_3830245,c_62,122.346699,31.834051,53,m_690
s_3836242,c_38,122.347276,31.835084,45,m_690
s_3840220,c_6,122.34689,31.834329,54,m_690
s_3875945,c_135,122.34689,31.834329,59,m_690
s_3882031,c_47,122.347415,31.834122,62,m_690
s_3904008,c_1,122.34689,31.834329,63,m_690
s_3911669,c_38,122.346699,31.834051,42,m_690
s_3924745,c_36,122.347146,31.833874,52,m_690
s_3946132,c_24,122.346568,31.83441,58,m_690
s_3975589,c_38,122.347204,31.834042,43,m_690
s_3992938,c_38,122.346673,31.834168,44,m_690
s_4000963,c_33,122.346435,31.834287,52,m_690
s_4015771,c_33,122.346142,31.834813,52,m_690
s_4044487,c_49,122.34817,31.835397,61,m_690
